"","MS.MS.count.Lane1","MS.MS.count.Lane1_rep","MS.MS.count.Lane2","MS.MS.count.Lane2_rep","MS.MS.count.Lane3","MS.MS.count.Lane3_rep"
"IFT56_HUMAN",3,6,17,14,8,8
"AIP_HUMAN",17,16,20,17,29,27
"PLOD2_HUMAN",0,0,0,0,23,24
"TOR1A_HUMAN",15,12,9,11,5,5
"TOR1B_HUMAN",0,1,0,1,0,0
"IFIT3_HUMAN",0,2,4,1,5,5
"GAK_HUMAN",0,4,6,9,7,10
"PFD6_HUMAN",5,2,5,5,3,3
"OGT1_HUMAN",18,16,19,21,32,29
"P4HA2_HUMAN",29,26,34,28,28,26
"PPIH_HUMAN",3,4,2,2,2,2
"SGTA_HUMAN",24,19,22,23,15,20
"OPA1_HUMAN",45,44,10,9,2,5
"PLOD3_HUMAN",50,52,60,57,63,55
"DNJA2_HUMAN",61,51,64,68,72,68
"PFD1_HUMAN",2,3,4,3,4,5
"DJC13_HUMAN",55,68,76,72,85,79
"DNJB6_HUMAN",13,13,9,11,16,18
"DNJC8_HUMAN",7,9,16,15,5,5
"DNJB5_HUMAN",1,2,0,0,0,0
"CLPX_HUMAN",3,3,0,0,0,1
"SRP72_HUMAN",49,44,49,52,28,26
"RMP_HUMAN",16,17,23,24,25,27
"TOM70_HUMAN",6,6,2,2,4,4
"PRP6_HUMAN",17,15,10,12,2,1
"FKBP9_HUMAN",16,12,24,20,18,18
"BAG4_HUMAN",0,1,6,7,2,3
"AHSA1_HUMAN",67,70,54,57,40,44
"PSMG1_HUMAN",10,10,12,8,14,13
"HS74L_HUMAN",13,12,6,5,0,0
"TTC4_HUMAN",4,7,12,7,10,14
"BAG2_HUMAN",16,15,7,7,7,8
"BAG3_HUMAN",18,15,11,10,8,8
"TXD12_HUMAN",5,3,5,4,6,7
"CRYAB_HUMAN",0,0,0,0,5,4
"HSPB1_HUMAN",89,97,70,65,83,87
"PDIA1_HUMAN",121,127,133,128,152,142
"HS90A_HUMAN",978,962,660,664,551,570
"HS90B_HUMAN",486,438,384,369,351,335
"IFIT2_HUMAN",0,1,1,0,0,1
"IFIT1_HUMAN",5,4,5,8,8,7
"HS71B_HUMAN",205,192,64,58,122,119
"HS71A_HUMAN",205,192,64,58,122,119
"THIO_HUMAN",5,5,4,4,4,8
"CH60_HUMAN",233,225,34,34,28,16
"GRP78_HUMAN",123,124,114,112,121,118
"HSP7C_HUMAN",430,414,264,253,246,263
"PDIA4_HUMAN",105,109,102,100,98,92
"P4HA1_HUMAN",26,28,28,28,42,39
"ENPL_HUMAN",241,238,254,239,242,261
"HSP76_HUMAN",13,12,8,6,7,9
"TCPA_HUMAN",173,181,136,138,145,132
"PPIB_HUMAN",18,21,22,24,21,23
"DNJB1_HUMAN",61,67,43,36,36,46
"DNJB2_HUMAN",0,0,0,1,6,5
"FKBP2_HUMAN",0,0,0,0,0,1
"CALR_HUMAN",86,78,91,77,114,111
"CALX_HUMAN",42,43,25,21,33,28
"ERP29_HUMAN",8,4,7,8,6,7
"PDIA3_HUMAN",52,46,74,74,94,90
"CDC27_HUMAN",8,11,7,12,6,4
"PPIF_HUMAN",1,2,0,0,0,0
"DNJA1_HUMAN",105,98,85,89,94,82
"STIP1_HUMAN",277,275,246,252,302,309
"HS71L_HUMAN",0,1,0,0,0,0
"HSP74_HUMAN",145,152,112,101,72,79
"PHB_HUMAN",6,6,9,8,2,3
"LONM_HUMAN",64,68,7,6,4,3
"GRP75_HUMAN",75,73,12,12,8,5
"TCPZ_HUMAN",186,176,157,162,172,178
"PPIC_HUMAN",1,1,1,1,1,0
"BAG6_HUMAN",57,53,61,59,67,71
"TCPE_HUMAN",192,183,186,179,153,158
"HSP13_HUMAN",0,1,2,2,2,1
"NASP_HUMAN",53,51,42,37,50,50
"TCPG_HUMAN",205,218,207,186,184,186
"SERPH_HUMAN",42,49,45,47,0,0
"F10A1_HUMAN",48,47,41,38,39,37
"F10A5_HUMAN",48,47,41,38,39,37
"PEX5_HUMAN",16,16,27,34,31,33
"TCPQ_HUMAN",209,201,185,169,177,178
"TCPD_HUMAN",135,125,128,113,116,119
