"","468","Mia","Mia24"
"IFT56_HUMAN",4.5,15.5,8
"AIP_HUMAN",16.5,18.5,28
"PLOD2_HUMAN",0,0,23.5
"TOR1A_HUMAN",13.5,10,5
"TOR1B_HUMAN",0.5,0.5,0
"IFIT3_HUMAN",1,2.5,5
"GAK_HUMAN",2,7.5,8.5
"PFD6_HUMAN",3.5,5,3
"OGT1_HUMAN",17,20,30.5
"P4HA2_HUMAN",27.5,31,27
"PPIH_HUMAN",3.5,2,2
"SGTA_HUMAN",21.5,22.5,17.5
"OPA1_HUMAN",44.5,9.5,3.5
"PLOD3_HUMAN",51,58.5,59
"DNJA2_HUMAN",56,66,70
"PFD1_HUMAN",2.5,3.5,4.5
"DJC13_HUMAN",61.5,74,82
"DNJB6_HUMAN",13,10,17
"DNJC8_HUMAN",8,15.5,5
"DNJB5_HUMAN",1.5,0,0
"CLPX_HUMAN",3,0,0.5
"SRP72_HUMAN",46.5,50.5,27
"RMP_HUMAN",16.5,23.5,26
"TOM70_HUMAN",6,2,4
"PRP6_HUMAN",16,11,1.5
"FKBP9_HUMAN",14,22,18
"BAG4_HUMAN",0.5,6.5,2.5
"AHSA1_HUMAN",68.5,55.5,42
"PSMG1_HUMAN",10,10,13.5
"HS74L_HUMAN",12.5,5.5,0
"TTC4_HUMAN",5.5,9.5,12
"BAG2_HUMAN",15.5,7,7.5
"BAG3_HUMAN",16.5,10.5,8
"TXD12_HUMAN",4,4.5,6.5
"CRYAB_HUMAN",0,0,4.5
"HSPB1_HUMAN",93,67.5,85
"PDIA1_HUMAN",124,130.5,147
"HS90A_HUMAN",970,662,560.5
"HS90B_HUMAN",462,376.5,343
"IFIT2_HUMAN",0.5,0.5,0.5
"IFIT1_HUMAN",4.5,6.5,7.5
"HS71B_HUMAN",198.5,61,120.5
"HS71A_HUMAN",198.5,61,120.5
"THIO_HUMAN",5,4,6
"CH60_HUMAN",229,34,22
"GRP78_HUMAN",123.5,113,119.5
"HSP7C_HUMAN",422,258.5,254.5
"PDIA4_HUMAN",107,101,95
"P4HA1_HUMAN",27,28,40.5
"ENPL_HUMAN",239.5,246.5,251.5
"HSP76_HUMAN",12.5,7,8
"TCPA_HUMAN",177,137,138.5
"PPIB_HUMAN",19.5,23,22
"DNJB1_HUMAN",64,39.5,41
"DNJB2_HUMAN",0,0.5,5.5
"FKBP2_HUMAN",0,0,0.5
"CALR_HUMAN",82,84,112.5
"CALX_HUMAN",42.5,23,30.5
"ERP29_HUMAN",6,7.5,6.5
"PDIA3_HUMAN",49,74,92
"CDC27_HUMAN",9.5,9.5,5
"PPIF_HUMAN",1.5,0,0
"DNJA1_HUMAN",101.5,87,88
"STIP1_HUMAN",276,249,305.5
"HS71L_HUMAN",0.5,0,0
"HSP74_HUMAN",148.5,106.5,75.5
"PHB_HUMAN",6,8.5,2.5
"LONM_HUMAN",66,6.5,3.5
"GRP75_HUMAN",74,12,6.5
"TCPZ_HUMAN",181,159.5,175
"PPIC_HUMAN",1,1,0.5
"BAG6_HUMAN",55,60,69
"TCPE_HUMAN",187.5,182.5,155.5
"HSP13_HUMAN",0.5,2,1.5
"NASP_HUMAN",52,39.5,50
"TCPG_HUMAN",211.5,196.5,185
"SERPH_HUMAN",45.5,46,0
"F10A1_HUMAN",47.5,39.5,38
"F10A5_HUMAN",47.5,39.5,38
"PEX5_HUMAN",16,30.5,32
"TCPQ_HUMAN",205,177,177.5
"TCPD_HUMAN",130,120.5,117.5
"PPP5_HUMAN",26.5,33,37
"TTC3_HUMAN",0,3,1
"HSP72_HUMAN",3.5,3,23.5
"TERA_HUMAN",239,206,216.5
"CH10_HUMAN",7.5,1,1
"PFD3_HUMAN",8.5,10.5,12
"PPIA_HUMAN",16.5,14.5,27.5
"FKB1A_HUMAN",1,0.5,1
"TCPB_HUMAN",267,206.5,231
"GPSM2_HUMAN",1,4,3.5
"FKBP3_HUMAN",19.5,25,19
"FKBP4_HUMAN",212.5,202,125.5
"PLOD1_HUMAN",63,61.5,39.5
"SPAG1_HUMAN",0.5,2,9.5
"KLC1_HUMAN",25.5,34.5,25.5
"PPID_HUMAN",39.5,31,30
"HSP7E_HUMAN",19.5,35,23.5
"ASPH_HUMAN",12.5,2.5,0
"TRAP1_HUMAN",70,15,15.5
"CDC16_HUMAN",10.5,14.5,12.5
"IFT88_HUMAN",1.5,10.5,1.5
"PRDX4_HUMAN",14,20.5,23.5
"DNJC3_HUMAN",6.5,16,29.5
"IFIT5_HUMAN",11.5,13.5,3.5
"FKBP5_HUMAN",37.5,43,10
"FKBP8_HUMAN",4,7.5,3.5
"PDIA5_HUMAN",8,19,16
"HS902_HUMAN",3.5,3,3
"EMC2_HUMAN",0.5,0,0
"PDIA6_HUMAN",90,78.5,87
"TEBP_HUMAN",5,6,6.5
"TOM34_HUMAN",27.5,44,20.5
"CDC37_HUMAN",82.5,61,107.5
"TRXR1_HUMAN",70.5,72,57.5
"DJC21_HUMAN",5.5,12,20.5
"TOR2A_HUMAN",1,1,0
"TT39A_HUMAN",0.5,2,1.5
"CFA70_HUMAN",0.5,1,0
"FKB15_HUMAN",9.5,15,9
"TTC19_HUMAN",1.5,5,2
"NAA16_HUMAN",6.5,10,30.5
"DJC24_HUMAN",0,1,0
"TTC27_HUMAN",24,28.5,27.5
"KLC3_HUMAN",0,0.5,26.5
"CTR9_HUMAN",15.5,0,0
"TTC37_HUMAN",2.5,2,41.5
"TTC33_HUMAN",2,1.5,1
"TXD11_HUMAN",1.5,1,1
"CWC27_HUMAN",0,4,1.5
"QSOX2_HUMAN",0.5,0.5,0
"CD37L_HUMAN",4,8.5,5
"TT21B_HUMAN",0,8,4
"TTC7B_HUMAN",0.5,0.5,0
"TRXR3_HUMAN",1.5,4,4
"TT30A_HUMAN",4,8,4.5
"GPSM1_HUMAN",4.5,10,0
"P3H2_HUMAN",10.5,14,11.5
"DJC10_HUMAN",10,13.5,17
"PEX5R_HUMAN",0,0.5,0.5
"TTC5_HUMAN",6.5,9.5,14.5
"TT30B_HUMAN",0,2,0
"WDTC1_HUMAN",6,9,7.5
"TTC9C_HUMAN",8,9,11
"TXND5_HUMAN",32,32,28
"PPIL4_HUMAN",10.5,10.5,7.5
"TPC12_HUMAN",3.5,13.5,6.5
"DNJA4_HUMAN",9.5,4,0.5
"DNJC9_HUMAN",2.5,3,6
