ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Chaperome_ID	Status	log10.p.adjust
GO:0050684	regulation of mRNA processing	9/19	222/29456	5.76778743566152e-15	2.53205868425541e-12	1.4085544053405e-12	HNRNPA2B1/HNRNPL/HNRNPA1/HNRNPU/RBMX/SNRNP70/SNRPA/SRSF3/SRSF7	9	IFIT3_HUMAN	Up	-11.5965262331124
GO:0048024	regulation of mRNA splicing, via spliceosome	8/19	138/29456	1.36752040500201e-14	3.0017072889794e-12	1.66981438926561e-12	HNRNPA2B1/HNRNPL/HNRNPA1/HNRNPU/RBMX/SNRNP70/SRSF3/SRSF7	8	IFIT3_HUMAN	Up	-11.522631660187
GO:0043484	regulation of RNA splicing	8/19	207/29456	3.67248559847222e-13	5.37407059243101e-11	2.98953213630019e-11	HNRNPA2B1/HNRNPL/HNRNPA1/HNRNPU/RBMX/SNRNP70/SRSF3/SRSF7	8	IFIT3_HUMAN	Up	-10.269696633083
GO:0006403	RNA localization	6/19	397/29456	1.35015133575467e-07	1.48179109099075e-05	8.24302920776537e-06	HNRNPA2B1/HNRNPA1/HNRNPU/SSB/SRSF3/SRSF7	6	IFIT3_HUMAN	Up	-4.82921302066522
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	4/19	82/29456	2.09402663007949e-07	1.83855538120979e-05	1.02276669090198e-05	HNRNPL/HNRNPA1/HNRNPU/RBMX	4	IFIT3_HUMAN	Up	-4.73552328372193
GO:0031123	RNA 3'-end processing	5/19	238/29456	3.50049006739955e-07	2.561191899314e-05	1.42476086953806e-05	APP/SSB/SNRPA/SRSF3/SRSF7	5	IFIT3_HUMAN	Up	-4.59155788045743
GO:0006405	RNA export from nucleus	5/19	252/29456	4.64359013912284e-07	2.9121943872499e-05	1.62001941695714e-05	HNRNPA2B1/HNRNPA1/SSB/SRSF3/SRSF7	5	IFIT3_HUMAN	Up	-4.53577963949211
GO:0000380	alternative mRNA splicing, via spliceosome	4/19	104/29456	5.45582966430303e-07	2.99388652828629e-05	1.66546379226092e-05	HNRNPL/HNRNPA1/HNRNPU/RBMX	4	IFIT3_HUMAN	Up	-4.52376466393719
GO:0048025	negative regulation of mRNA splicing, via spliceosome	3/19	29/29456	8.22555118731402e-07	4.01224107914539e-05	2.23196242743491e-05	HNRNPA2B1/RBMX/SRSF7	3	IFIT3_HUMAN	Up	-4.39661297988965
GO:1903312	negative regulation of mRNA metabolic process	4/19	141/29456	1.84396471776023e-06	6.42483281917048e-05	3.57405877963686e-05	HNRNPA2B1/HNRNPU/RBMX/SRSF7	4	IFIT3_HUMAN	Up	-4.19213816864357
GO:0050657	nucleic acid transport	5/19	335/29456	1.88380252068483e-06	6.42483281917048e-05	3.57405877963686e-05	HNRNPA2B1/HNRNPA1/SSB/SRSF3/SRSF7	5	IFIT3_HUMAN	Up	-4.19213816864357
GO:0050658	RNA transport	5/19	335/29456	1.88380252068483e-06	6.42483281917048e-05	3.57405877963686e-05	HNRNPA2B1/HNRNPA1/SSB/SRSF3/SRSF7	5	IFIT3_HUMAN	Up	-4.19213816864357
GO:0051236	establishment of RNA localization	5/19	339/29456	1.99651166351802e-06	6.42483281917048e-05	3.57405877963686e-05	HNRNPA2B1/HNRNPA1/SSB/SRSF3/SRSF7	5	IFIT3_HUMAN	Up	-4.19213816864357
GO:0033119	negative regulation of RNA splicing	3/19	39/29456	2.04892162798147e-06	6.42483281917048e-05	3.57405877963686e-05	HNRNPA2B1/RBMX/SRSF7	3	IFIT3_HUMAN	Up	-4.19213816864357
GO:1990823	response to leukemia inhibitory factor	4/19	164/29456	3.36361687914616e-06	9.22892381215728e-05	5.13394155238098e-05	NCL/HNRNPU/SRSF3/SRSF7	4	IFIT3_HUMAN	Up	-4.03484893924401
GO:1990830	cellular response to leukemia inhibitory factor	4/19	164/29456	3.36361687914616e-06	9.22892381215728e-05	5.13394155238098e-05	NCL/HNRNPU/SRSF3/SRSF7	4	IFIT3_HUMAN	Up	-4.03484893924401
GO:0031124	mRNA 3'-end processing	4/19	170/29456	3.87910667626909e-06	9.53269602544139e-05	5.30292645462751e-05	APP/SNRPA/SRSF3/SRSF7	4	IFIT3_HUMAN	Up	-4.02078425535487
