ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Chaperome_ID	Status	log10.p.adjust
GO:0043488	regulation of mRNA stability	5/14	338/29456	3.5518327946001e-07	9.09894697038206e-05	2.92076671899706e-05	XPO1/HSPA1A/PSMC4/PSMD11/HSPA1A	5	DNJA2_HUMAN	Up.LFQ.A	-4.04100886607612
GO:0043487	regulation of RNA stability	5/14	349/29456	4.16082048444833e-07	9.09894697038206e-05	2.92076671899706e-05	XPO1/HSPA1A/PSMC4/PSMD11/HSPA1A	5	DNJA2_HUMAN	Up.LFQ.A	-4.04100886607612
GO:0061013	regulation of mRNA catabolic process	5/14	368/29456	5.40531503191014e-07	9.09894697038206e-05	2.92076671899706e-05	XPO1/HSPA1A/PSMC4/PSMD11/HSPA1A	5	DNJA2_HUMAN	Up.LFQ.A	-4.04100886607612
GO:0042026	protein refolding	3/14	63/29456	3.33721812619479e-06	0.000353536598424073	0.000113485432323725	HSPA1A/HSPH1/HSPA1A	3	DNJA2_HUMAN	Up.LFQ.A	-3.45156562098763
GO:0051085	chaperone cofactor-dependent protein refolding	3/14	64/29456	3.50036236063439e-06	0.000353536598424073	0.000113485432323725	HSPA1A/HSPH1/HSPA1A	3	DNJA2_HUMAN	Up.LFQ.A	-3.45156562098763
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	4/14	250/29456	4.74276423936949e-06	0.000386531786342621	0.000124076904839528	HSPA1A/PSMC4/PSMD11/HSPA1A	4	DNJA2_HUMAN	Up.LFQ.A	-3.41281478618143
GO:0043620	regulation of DNA-templated transcription in response to stress	4/14	261/29456	5.62307090880518e-06	0.000386531786342621	0.000124076904839528	HSPA1A/PSMC4/PSMD11/HSPA1A	4	DNJA2_HUMAN	Up.LFQ.A	-3.41281478618143
GO:0051084	'de novo' posttranslational protein folding	3/14	77/29456	6.12327582324944e-06	0.000386531786342621	0.000124076904839528	HSPA1A/HSPH1/HSPA1A	3	DNJA2_HUMAN	Up.LFQ.A	-3.41281478618143
GO:0070432	regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	2/14	10/29456	9.41905502015799e-06	0.000475662278517978	0.00015268783927414	HSPA1A/HSPA1A	2	DNJA2_HUMAN	Up.LFQ.A	-3.32270128810302
GO:0090063	positive regulation of microtubule nucleation	2/14	10/29456	9.41905502015799e-06	0.000475662278517978	0.00015268783927414	HSPA1A/HSPA1A	2	DNJA2_HUMAN	Up.LFQ.A	-3.32270128810302
GO:0033209	tumor necrosis factor-mediated signaling pathway	4/14	308/29456	1.08038661830279e-05	0.000484339261086627	0.000155473155200293	HSPA1A/PSMC4/PSMD11/HSPA1A	4	DNJA2_HUMAN	Up.LFQ.A	-3.31485032512613
GO:0060699	regulation of endoribonuclease activity	2/14	11/29456	1.15090517485931e-05	0.000484339261086627	0.000155473155200293	HSPA1A/HSPA1A	2	DNJA2_HUMAN	Up.LFQ.A	-3.31485032512613
GO:0010968	regulation of microtubule nucleation	2/14	12/29456	1.3807111218073e-05	0.00053635316654822	0.000172169645958157	HSPA1A/HSPA1A	2	DNJA2_HUMAN	Up.LFQ.A	-3.27054915102487
GO:0006458	'de novo' protein folding	3/14	111/29456	1.83916468016805e-05	0.000600531436997574	0.000192770904216001	HSPA1A/HSPH1/HSPA1A	3	DNJA2_HUMAN	Up.LFQ.A	-3.22146425294515
GO:0070424	regulation of nucleotide-binding oligomerization domain containing signaling pathway	2/14	14/29456	1.90267385979429e-05	0.000600531436997574	0.000192770904216001	HSPA1A/HSPA1A	2	DNJA2_HUMAN	Up.LFQ.A	-3.22146425294515
GO:1901029	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	2/14	14/29456	1.90267385979429e-05	0.000600531436997574	0.000192770904216001	HSPA1A/HSPA1A	2	DNJA2_HUMAN	Up.LFQ.A	-3.22146425294515
GO:0045732	positive regulation of protein catabolic process	4/14	383/29456	2.54062155374227e-05	0.000754714049788145	0.000242263603267065	HECW2/HSPA1A/PSMC4/HSPA1A	4	DNJA2_HUMAN	Up.LFQ.A	-3.12221756508921
GO:1903265	positive regulation of tumor necrosis factor-mediated signaling pathway	2/14	18/29456	3.19552739813651e-05	0.000896522964477187	0.000287784338779545	HSPA1A/HSPA1A	2	DNJA2_HUMAN	Up.LFQ.A	-3.04743858148609
