name	Description
DNJA2_HUMAN	DNJA2_HUMAN
DNJB6_HUMAN	DNJB6_HUMAN
DNJB5_HUMAN	DNJB5_HUMAN
BAG4_HUMAN	BAG4_HUMAN
BAG2_HUMAN	BAG2_HUMAN
BAG3_HUMAN	BAG3_HUMAN
PDIA1_HUMAN	PDIA1_HUMAN
HS90A_HUMAN	HS90A_HUMAN
HS90B_HUMAN	HS90B_HUMAN
CH60_HUMAN	CH60_HUMAN
GRP78_HUMAN	GRP78_HUMAN
HSP7C_HUMAN	HSP7C_HUMAN
HSP76_HUMAN	HSP76_HUMAN
DNJB1_HUMAN	DNJB1_HUMAN
CALX_HUMAN	CALX_HUMAN
CDC27_HUMAN	CDC27_HUMAN
DNJA1_HUMAN	DNJA1_HUMAN
STIP1_HUMAN	STIP1_HUMAN
HS71L_HUMAN	HS71L_HUMAN
HSP74_HUMAN	HSP74_HUMAN
GRP75_HUMAN	GRP75_HUMAN
BAG6_HUMAN	BAG6_HUMAN
NASP_HUMAN	NASP_HUMAN
F10A1_HUMAN	F10A1_HUMAN
PPP5_HUMAN	PPP5_HUMAN
HSP72_HUMAN	HSP72_HUMAN
TERA_HUMAN	TERA_HUMAN
CH10_HUMAN	CH10_HUMAN
PFD3_HUMAN	PFD3_HUMAN
PPID_HUMAN	PPID_HUMAN
PRDX4_HUMAN	PRDX4_HUMAN
DNJC3_HUMAN	DNJC3_HUMAN
FKBP8_HUMAN	FKBP8_HUMAN
CDC37_HUMAN	CDC37_HUMAN
CD37L_HUMAN	CD37L_HUMAN
GPSM1_HUMAN	GPSM1_HUMAN
WDTC1_HUMAN	WDTC1_HUMAN
DNJA4_HUMAN	DNJA4_HUMAN
DNJA3_HUMAN	DNJA3_HUMAN
TONSL_HUMAN	TONSL_HUMAN
ERO1A_HUMAN	ERO1A_HUMAN
TTC1_HUMAN	TTC1_HUMAN
DNJC7_HUMAN	DNJC7_HUMAN
BAG1_HUMAN	BAG1_HUMAN
EDEM3_HUMAN	EDEM3_HUMAN
CNO10_HUMAN	CNO10_HUMAN
DJC17_HUMAN	DJC17_HUMAN
FKB14_HUMAN	FKB14_HUMAN
HPBP1_HUMAN	HPBP1_HUMAN
DJB11_HUMAN	DJB11_HUMAN
DNJB4_HUMAN	DNJB4_HUMAN
SRP68_HUMAN	SRP68_HUMAN
APC7_HUMAN	APC7_HUMAN
CHIP_HUMAN	CHIP_HUMAN
TF3C3_HUMAN	TF3C3_HUMAN
IFT56_HUMAN	IFT56_HUMAN
TOR1A_HUMAN	TOR1A_HUMAN
IFIT3_HUMAN	IFIT3_HUMAN
GAK_HUMAN	GAK_HUMAN
P4HA2_HUMAN	P4HA2_HUMAN
PPIH_HUMAN	PPIH_HUMAN
PRP6_HUMAN	PRP6_HUMAN
AHSA1_HUMAN	AHSA1_HUMAN
PSMG1_HUMAN	PSMG1_HUMAN
IFIT2_HUMAN	IFIT2_HUMAN
IFIT1_HUMAN	IFIT1_HUMAN
HS71B_HUMAN	HS71B_HUMAN
HS71A_HUMAN	HS71A_HUMAN
ENPL_HUMAN	ENPL_HUMAN
TCPA_HUMAN	TCPA_HUMAN
FKBP2_HUMAN	FKBP2_HUMAN
CALR_HUMAN	CALR_HUMAN
TCPZ_HUMAN	TCPZ_HUMAN
TCPE_HUMAN	TCPE_HUMAN
TCPG_HUMAN	TCPG_HUMAN
PEX5_HUMAN	PEX5_HUMAN
TCPQ_HUMAN	TCPQ_HUMAN
TCPD_HUMAN	TCPD_HUMAN
TCPB_HUMAN	TCPB_HUMAN
PLOD1_HUMAN	PLOD1_HUMAN
IFT88_HUMAN	IFT88_HUMAN
FKBP5_HUMAN	FKBP5_HUMAN
TTC27_HUMAN	TTC27_HUMAN
CTR9_HUMAN	CTR9_HUMAN
TTC37_HUMAN	TTC37_HUMAN
TT21B_HUMAN	TT21B_HUMAN
TT30A_HUMAN	TT30A_HUMAN
TT30B_HUMAN	TT30B_HUMAN
TPC12_HUMAN	TPC12_HUMAN
TCPW_HUMAN	TCPW_HUMAN
DNJC2_HUMAN	DNJC2_HUMAN
TCPH_HUMAN	TCPH_HUMAN
CRNL1_HUMAN	CRNL1_HUMAN
KLC2_HUMAN	KLC2_HUMAN
TOR3A_HUMAN	TOR3A_HUMAN
GRPE1_HUMAN	GRPE1_HUMAN
KLC4_HUMAN	KLC4_HUMAN
PPIE_HUMAN	PPIE_HUMAN
SGT1_HUMAN	SGT1_HUMAN
PPIL1_HUMAN	PPIL1_HUMAN
OGT1_HUMAN	OGT1_HUMAN
SGTA_HUMAN	SGTA_HUMAN
DJC13_HUMAN	DJC13_HUMAN
DNJC8_HUMAN	DNJC8_HUMAN
RMP_HUMAN	RMP_HUMAN
TOM70_HUMAN	TOM70_HUMAN
HS74L_HUMAN	HS74L_HUMAN
TXD12_HUMAN	TXD12_HUMAN
HSPB1_HUMAN	HSPB1_HUMAN
ERP29_HUMAN	ERP29_HUMAN
PDIA3_HUMAN	PDIA3_HUMAN
PPIC_HUMAN	PPIC_HUMAN
HSP13_HUMAN	HSP13_HUMAN
SERPH_HUMAN	SERPH_HUMAN
GPSM2_HUMAN	GPSM2_HUMAN
FKBP3_HUMAN	FKBP3_HUMAN
FKBP4_HUMAN	FKBP4_HUMAN
TRAP1_HUMAN	TRAP1_HUMAN
CDC16_HUMAN	CDC16_HUMAN
EMC2_HUMAN	EMC2_HUMAN
TXD11_HUMAN	TXD11_HUMAN
P3H2_HUMAN	P3H2_HUMAN
DJC10_HUMAN	DJC10_HUMAN
TTC5_HUMAN	TTC5_HUMAN
DNJC9_HUMAN	DNJC9_HUMAN
HS105_HUMAN	HS105_HUMAN
DNJC1_HUMAN	DNJC1_HUMAN
PFD5_HUMAN	PFD5_HUMAN
NAA15_HUMAN	NAA15_HUMAN
SYF1_HUMAN	SYF1_HUMAN
DJB12_HUMAN	DJB12_HUMAN
SEC63_HUMAN	SEC63_HUMAN
BAG5_HUMAN	BAG5_HUMAN
HYOU1_HUMAN	HYOU1_HUMAN
SRP72_HUMAN	SRP72_HUMAN
THIO_HUMAN	THIO_HUMAN
DNJB2_HUMAN	DNJB2_HUMAN
ASPH_HUMAN	ASPH_HUMAN
IFIT5_HUMAN	IFIT5_HUMAN
TEBP_HUMAN	TEBP_HUMAN
CDC23_HUMAN	CDC23_HUMAN
APC5_HUMAN	APC5_HUMAN
