"","UNIPROTKB","EntrezID","Gene","Level1","Level2","CHAP...CO.CHAP","ATP.dependence..Y.N.","Entry.name"
"1","P27797",811,"CALR","Chaperome","ER","CHAP","N","CALR_HUMAN"
"2","P27824",821,"CANX","Chaperome","ER","CHAP","N","CALX_HUMAN"
"3","O14967",1047,"CLGN","Chaperome","ER","CHAP","N","CLGN_HUMAN"
"4","Q92611",9695,"EDEM1","Chaperome","ER","CHAP","N","EDEM1_HUMAN"
"5","Q9BV94",55741,"EDEM2","Chaperome","ER","CHAP","N","EDEM2_HUMAN"
"6","Q9BZQ6",80267,"EDEM3","Chaperome","ER","CHAP","N","EDEM3_HUMAN"
"7","P30040",10961,"ERP29","Chaperome","ER","CHAP","N","ERP29_HUMAN"
"8","P41222",5730,"PTGDS","Chaperome","ER","CHAP","N","PTGDS_HUMAN"
"9","P50454",871,"SERPINH1","Chaperome","ER","CHAP","N","SERPH_HUMAN"
"10","Q96DZ1",27248,"ERLEC1","Chaperome","ER","CHAP","N","ERLEC_HUMAN"
"11","O95456",8624,"PSMG1","Chaperome","ER","CHAP","N","PSMG1_HUMAN"
"12","Q02809",5351,"PLOD1","Chaperome","ER","CHAP","N","PLOD1_HUMAN"
"13","O00469",5352,"PLOD2","Chaperome","ER","CHAP","N","PLOD2_HUMAN"
"14","O60568",8985,"PLOD3","Chaperome","ER","CHAP","N","PLOD3_HUMAN"
"15","Q5TGI0",84553,"FAXC","Chaperome","ER","CHAP","N","FAXC_HUMAN"
"16","Q96DN0",121506,"ERP27","Chaperome","ER","CO-CHAP","N","ERP27_HUMAN"
"17","P07237",5034,"P4HB","Chaperome","ER","CO-CHAP","N","PDIA1_HUMAN"
"18","Q13087",64714,"PDIA2","Chaperome","ER","CO-CHAP","N","PDIA2_HUMAN"
"19","P30101",2923,"PDIA3","Chaperome","ER","CO-CHAP","N","PDIA3_HUMAN"
"20","P13667",9601,"PDIA4","Chaperome","ER","CO-CHAP","N","PDIA4_HUMAN"
"21","Q14554",10954,"PDIA5","Chaperome","ER","CO-CHAP","N","PDIA5_HUMAN"
"22","Q15084",10130,"PDIA6","Chaperome","ER","CO-CHAP","N","PDIA6_HUMAN"
"23","Q8N807",204474,"PDILT","Chaperome","ER","CO-CHAP","N","PDILT_HUMAN"
"24","Q9BS26",23071,"ERP44","Chaperome","ER","CO-CHAP","N","ERP44_HUMAN"
"25","Q13162",10549,"PRDX4","Chaperome","ER","CO-CHAP","N","PRDX4_HUMAN"
"26","O00391",5768,"QSOX1","Chaperome","ER","CO-CHAP","N","QSOX1_HUMAN"
"27","Q96HE7",30001,"ERO1L","Chaperome","ER","CO-CHAP","N","ERO1A_HUMAN"
"28","Q86YB8",56605,"ERO1LB","Chaperome","ER","CO-CHAP","N","ERO1B_HUMAN"
"29","Q6ZRP7",169714,"QSOX2","Chaperome","ER","CO-CHAP","N","QSOX2_HUMAN"
"30","Q9H3N1",81542,"TMX1","Chaperome","ER","CO-CHAP","N","TMX1_HUMAN"
"31","Q9Y320",51075,"TMX2","Chaperome","ER","CO-CHAP","N","TMX2_HUMAN"
"32","O95881",51060,"TXNDC12","Chaperome","ER","CO-CHAP","N","TXD12_HUMAN"
"33","O95994",10551,"AGR2","Chaperome","ER","CO-CHAP","N","AGR2_HUMAN"
"34","Q9H1E5",56255,"TMX4","Chaperome","ER","CO-CHAP","N","TMX4_HUMAN"
"35","P10599",7295,"TXN","Chaperome","ER","CO-CHAP","N","THIO_HUMAN"
"36","Q96JJ7",54495,"TMX3","Chaperome","ER","CO-CHAP","N","TMX3_HUMAN"
"37","Q6PKC3",51061,"TXNDC11","Chaperome","ER","CO-CHAP","N","TXD11_HUMAN"
"38","Q9P2K2",57544,"TXNDC16","Chaperome","ER","CO-CHAP","N","TXD16_HUMAN"
"39","Q8NBS9",81567,"TXNDC5","Chaperome","ER","CO-CHAP","N","TXND5_HUMAN"
"40","Q13454",7991,"TUSC3","Chaperome","ER","CO-CHAP","N","TUSC3_HUMAN"
"41","Q8WU39",51237,"MZB1","Chaperome","ER","CO-CHAP","N","MZB1_HUMAN"
"42","Q7Z4N8",283208,"P4HA3","Chaperome","ER","CO-CHAP","N","P4HA3_HUMAN"
"43","P55072",7415,"VCP","Chaperome","HSP100","CHAP","Y","TERA_HUMAN"
"44","Q5JU69",27433,"TOR2A","Chaperome","HSP100","CHAP","Y","TOR2A_HUMAN"
"45","Q8N2E6",27433,"TOR2A","Chaperome","HSP100","CHAP","Y","TOR2X_HUMAN"
"46","Q9H497",64222,"TOR3A","Chaperome","HSP100","CHAP","Y","TOR3A_HUMAN"
"47","O14656",1861,"TOR1A","Chaperome","HSP100","CHAP","Y","TOR1A_HUMAN"
"48","O14657",27348,"TOR1B","Chaperome","HSP100","CHAP","Y","TOR1B_HUMAN"
"49","Q9NXH8",54863,"TOR4A","Chaperome","HSP100","CHAP","Y","TOR4A_HUMAN"
"50","O76031",10845,"CLPX","Chaperome","HSP100","CHAP","Y","CLPX_HUMAN"
"51","P36776",9361,"LONP1","Chaperome","HSP100","CHAP","Y","LONM_HUMAN"
"52","Q9H078",81570,"CLPB","Chaperome","HSP100","CHAP","Y","CLPB_HUMAN"
"53","Q9Y4W6",10939,"AFG3L2","Chaperome","HSP100","CHAP","Y","AFG32_HUMAN"
"54","Q9Y276",617,"BCS1L","Chaperome","HSP100","CHAP","Y","BCS1_HUMAN"
"55","Q9NVI7",55210,"ATAD3A","Chaperome","HSP100","CHAP","Y","ATD3A_HUMAN"
"56","Q5T9A4",83858,"ATAD3B","Chaperome","HSP100","CHAP","Y","ATD3B_HUMAN"
"57","Q5T2N8",219293,"ATAD3C","Chaperome","HSP100","CHAP","Y","ATD3C_HUMAN"
"58","O75061",9829,"DNAJC6","Chaperome","HSP40","CO-CHAP","N","AUXI_HUMAN"
"59","P31689",3301,"DNAJA1","Chaperome","HSP40","CO-CHAP","N","DNJA1_HUMAN"
"60","O60884",10294,"DNAJA2","Chaperome","HSP40","CO-CHAP","N","DNJA2_HUMAN"
