UNIPROTKB,ENTREZ_GENE
P62258,7531
P61981,7532
P31947,2810
P63104,7534
P30443,3105
Q16537,5529
P46952,23498
P31937,11112
P30542,134
Q9NS82,56301
Q9NRG9,8086
Q2M2I8,22848
O43741,5565
P54619,5571
Q9UNQ0,9429
Q9H172,64137
Q9H222,64240
Q8N2K0,26090
Q96I13,79575
Q8IZP0,10006
P49748,37
Q9BR61,84320
Q05901,1142
Q86TX2,641371
Q6NUN0,54988
P68032,70
P63267,72
Q08043,89
Q04771,90
Q03154,95
Q96HD9,91703
O43184,8038
Q13444,8751
P18089,151
Q9BZ11,80332
Q8NCV1,161931
Q6DHV7,161823
Q86TW2,57143
Q8NFM4,196883
P40145,114
Q96PN6,55811
P08319,127
P11766,128
Q15848,9370
P35318,133
P43652,173
Q8N556,60312
P51825,4299
Q9Y4W6,10939
P55087,361
P55064,362
Q13520,363
O14520,364
Q66PJ3,51329
Q96P48,116985
Q92974,9181
Q12774,7984
Q96PE2,9828
Q6ZSZ5,23370
Q96DR7,26084
Q9NX46,54936
Q14865,84159
O43488,8574
P56559,10123
Q9Y689,26225
Q96BM9,127829
Q6T311,132946
Q5W041,219681
Q96C12,79798
Q9P291,51309
P27540,405
Q9NR71,56624
Q9ULH1,50807
Q8WXH4,140456
A6NK59,142686
Q96NS5,92591
Q6ZVZ8,401036
Q9Y575,100302652
Q9Y575,51130
Q8WWX0,140458
Q9H672,140460
Q9H765,140461
Q96DX5,140462
P50553,429
P78348,41
Q16515,40
Q12797,444
Q96KQ4,23368
Q13625,7159
P26436,56
Q9C0F0,80816
O60312,57194
O94823,23120
Q8NB49,286410
Q9H7F0,79572
Q4VNC0,344905
Q13733,480
P05026,481
O14983,487
P20020,490
O75185,9914
Q9Y2Q0,10396
Q9NTI2,51761
O43520,5205
P15289,410
P15848,411
Q5FYB0,79642
Q6UWY0,153642
Q96QS3,170302
Q9HBK9,57412
Q8WXK3,79754
Q9H1I8,84164
Q5T6C5,127002
Q86WG3,85300
Q9ULI0,54454
P18846,466
Q96BY7,55102
Q86TL0,84971
O75947,10476
Q9UNA0,11096
Q9UKP4,11173
Q9UBB4,25814
Q9Y679,550
Q92843,599
Q9HB09,83596
O75752,8706
Q6ZMB0,192134
Q7Z7M8,374907
Q67FW5,146712
Q9Y5Z6,8708
O43825,8707
O96024,8705
Q9H981,93973
Q9Y574,51666
Q8N9N2,51008
Q9NR48,55870
A6ND91,554235
Q6UY14,54507
Q8NHH9,64225
P51164,496
Q8N5M1,91647
P58397,81792
Q8TE57,170690
Q8TE59,171019
Q9UKP5,11174
Q9UP79,11095
P17735,6898
P08243,440
Q9BZE9,79058
Q06055,517
Q9H0Y0,83734
O94817,9140
Q96DT6,84938
Q9H1Y0,9474
P56385,521
P00846,4508
Q9NVP2,55723
P07306,432
Q9UHC3,9311
P42127,434
P20933,175
Q6ICH7,57168
Q9UN42,23439
Q16720,492
P03928,4509
Q9ULK2,222255
P48201,518
P98198,57198
Q8TF62,79895
Q8NBU5,84896
Q5T9A4,83858
P18850,22926
O75143,9776
Q2TAZ0,23130
Q9NT62,64422
Q9Y6H3,91419
P18859,522
Q99766,27109
Q04656,538
P35670,540
Q8NBF6,23080
O43521,10018
Q14032,570
Q9H3F6,83892
Q9Y5Z0,25825
O75531,8815
Q99933,573
Q8WY36,56987
Q9C0K0,64919
Q8TDM0,55653
P10415,596
Q8WUZ0,9274
Q86UU0,283149
Q8NFU0,266675
Q9HBH7,55859
P30049,513
P48047,539
O75882,8455
Q5T686,60370
Q13705,93
Q58HT5,158833
O14977,51582
Q5TBC7,440603
Q9NPZ5,135152
O94766,26229
Q6Y288,145173
Q9NY97,10678
Q9BYG0,84002
Q8NHY0,124872
P15291,2683
O43286,9334
Q9NXR7,9577
P56817,23621
Q92934,572
Q86Y27,85316
Q9NR55,55509
Q9UIG0,9031
Q9UIF9,11176
Q6ZW61,166379
Q9NWK9,54680
Q9HAY6,53630
O14874,10295
P20749,602
P41182,604
Q8TBH0,27106
Q8NCT1,91947
O00192,421
P07307,433
Q9UBL3,9070
Q2TB18,28990
Q9Y284,51398
Q6HA08,431705
O75129,23245
Q76L83,55252
Q8WWH4,136991
Q9P241,57205
Q9HD20,57130
P54709,483
P16615,488
Q93084,489
P98194,27032
Q8TBG4,64850
Q8IUZ5,85007
Q9BSB4,60673
Q6ZMM2,339366
Q6DD88,25923
P54259,1822
Q92858,474
O75964,10632
P06576,506
O15511,10092
P49407,408
Q8N5I2,92714
Q96B67,57561
A6NEK1,645432
Q13510,427
O43150,8853
Q8TDY4,55616
Q8WXJ9,127247
Q9Y576,51665
Q9ULZ3,29108
Q9NY37,51802
P46597,438
O14525,460
P98196,23250
Q9Y2G3,23200
Q9NQ11,23400
P05496,516
Q9Y2D1,22809
P17544,11016
Q8N6G6,92949
P82987,57188
O95352,10533
P54710,486
Q8N100,220202
Q96SQ7,84913
P20648,495
P56381,514
Q5VV63,26033
P46100,546
Q13535,545
Q76LX8,11093
Q8TE56,170691
Q9UHI8,9510
P59510,80070
O15072,9508
O75173,9507
Q8WWM7,11273
Q9H3M9,92552
P54252,4287
Q6E213,158835
Q5T1B0,126859
Q9Y2T1,8313
Q13072,574
Q9HBU1,56033
Q6PL18,29028
Q96QE3,79915
P18847,467
P18848,468
Q8WYN0,115201
Q9Y4P1,23192
Q674R7,285973
Q6RW13,57085
Q9H324,81794
Q8TE58,170689
Q8TE60,170692
Q99700,6311
Q13825,549
O75061,9829
Q9NQS1,57099
P27037,92
P36542,509
Q6ZP68,400165
Q8WXS8,140766
O95450,9509
Q9P2N4,56999
Q9UQB9,6795
Q8WXX7,26053
O15169,8312
Q8NCR0,148789
Q9Y2A9,10331
Q76KP1,338707
Q9UL15,9529
Q86Y28,85317
P82251,11136
Q8N1L9,116071
Q07812,581
Q02338,622
Q9BUH8,57596
Q6ZU67,389206
Q8NDY6,128408
O14503,8553
Q9UHR4,55971
Q9H694,80114
Q8TD16,23299
